date,Port1,Port2,Port3,Port4,Port5
20190710,"Index(['国泰君安601211.SH', '中国交建601800.SH', '中国国旅601888.SH', '海螺水泥600585.SH',
       '中国中车601766.SH', '海尔智家600690.SH', '中国中铁601390.SH', '中国神华601088.SH',
       '华夏幸福600340.SH', '贵州茅台600519.SH'],
      dtype='object')","Index(['中国铁建601186.SH', '中国太保601601.SH', '新华保险601336.SH', '恒瑞医药600276.SH',
       '万华化学600309.SH', '南方航空600029.SH', '伊利股份600887.SH', '中国人寿601628.SH',
       '复星医药600196.SH', '上汽集团600104.SH'],
      dtype='object')","Index(['光大银行601818.SH', '药明康德603259.SH', '招商银行600036.SH', '保利地产600048.SH',
       '浦发银行600000.SH', '建设银行601939.SH', '兴业银行601166.SH', '中国国航601111.SH',
       '中国平安601318.SH', '中国建筑601668.SH'],
      dtype='object')","Index(['中国银行601988.SH', '海通证券600837.SH', '中信证券600030.SH', '交通银行601328.SH',
       '三一重工600031.SH', '中国石化600028.SH', '洛阳钼业603993.SH', '民生银行600016.SH',
       '中国石油601857.SH', '宝钢股份600019.SH'],
      dtype='object')","Index(['三安光电600703.SH', '中国重工601989.SH', '工业富联601138.SH', '中信建投601066.SH',
       '农业银行601288.SH', '中国人保601319.SH', '中国联通600050.SH', '华泰证券601688.SH',
       '上海银行601229.SH', '工商银行601398.SH'],
      dtype='object')"
20190717,"Index(['国泰君安601211.SH', '中国国旅601888.SH', '海螺水泥600585.SH', '中国交建601800.SH',
       '中国中车601766.SH', '海尔智家600690.SH', '中国神华601088.SH', '中国中铁601390.SH',
       '华夏幸福600340.SH', '贵州茅台600519.SH'],
      dtype='object')","Index(['中国国航601111.SH', '中国平安601318.SH', '中国铁建601186.SH', '伊利股份600887.SH',
       '新华保险601336.SH', '复星医药600196.SH', '中国人寿601628.SH', '恒瑞医药600276.SH',
       '万华化学600309.SH', '南方航空600029.SH'],
      dtype='object')","Index(['招商银行600036.SH', '中国石油601857.SH', '药明康德603259.SH', '光大银行601818.SH',
       '浦发银行600000.SH', '保利地产600048.SH', '兴业银行601166.SH', '中国太保601601.SH',
       '中国建筑601668.SH', '上汽集团600104.SH'],
      dtype='object')","Index(['中国银行601988.SH', '海通证券600837.SH', '中信证券600030.SH', '交通银行601328.SH',
       '建设银行601939.SH', '三一重工600031.SH', '中国石化600028.SH', '洛阳钼业603993.SH',
       '民生银行600016.SH', '宝钢股份600019.SH'],
      dtype='object')","Index(['三安光电600703.SH', '中国重工601989.SH', '中信建投601066.SH', '农业银行601288.SH',
       '工业富联601138.SH', '中国人保601319.SH', '华泰证券601688.SH', '中国联通600050.SH',
       '上海银行601229.SH', '工商银行601398.SH'],
      dtype='object')"
20190724,"Index(['中国国旅601888.SH', '南方航空600029.SH', '海螺水泥600585.SH', '中国神华601088.SH',
       '海尔智家600690.SH', '中国中车601766.SH', '华夏幸福600340.SH', '中国中铁601390.SH',
       '中国交建601800.SH', '贵州茅台600519.SH'],
      dtype='object')","Index(['兴业银行601166.SH', '新华保险601336.SH', '复星医药600196.SH', '中国平安601318.SH',
       '伊利股份600887.SH', '浦发银行600000.SH', '中国人寿601628.SH', '万华化学600309.SH',
       '恒瑞医药600276.SH', '国泰君安601211.SH'],
      dtype='object')","Index(['民生银行600016.SH', '药明康德603259.SH', '中国太保601601.SH', '光大银行601818.SH',
       '招商银行600036.SH', '中国建筑601668.SH', '中国石油601857.SH', '上汽集团600104.SH',
       '中国铁建601186.SH', '中国国航601111.SH'],
      dtype='object')","Index(['中国银行601988.SH', '工商银行601398.SH', '三一重工600031.SH', '建设银行601939.SH',
       '中信证券600030.SH', '中国石化600028.SH', '交通银行601328.SH', '海通证券600837.SH',
       '洛阳钼业603993.SH', '宝钢股份600019.SH'],
      dtype='object')","Index(['三安光电600703.SH', '中国重工601989.SH', '中信建投601066.SH', '工业富联601138.SH',
       '农业银行601288.SH', '中国人保601319.SH', '华泰证券601688.SH', '上海银行601229.SH',
       '中国联通600050.SH', '保利地产600048.SH'],
      dtype='object')"
20190731,"Index(['国泰君安601211.SH', '南方航空600029.SH', '中国国旅601888.SH', '海螺水泥600585.SH',
       '中国神华601088.SH', '华夏幸福600340.SH', '海尔智家600690.SH', '中国交建601800.SH',
       '中国中铁601390.SH', '贵州茅台600519.SH'],
      dtype='object')","Index(['新华保险601336.SH', '中国国航601111.SH', '复星医药600196.SH', '伊利股份600887.SH',
       '浦发银行600000.SH', '中国人寿601628.SH', '中国平安601318.SH', '万华化学600309.SH',
       '恒瑞医药600276.SH', '中国中车601766.SH'],
      dtype='object')","Index(['民生银行600016.SH', '药明康德603259.SH', '中国太保601601.SH', '光大银行601818.SH',
       '招商银行600036.SH', '上汽集团600104.SH', '中国建筑601668.SH', '中国铁建601186.SH',
       '兴业银行601166.SH', '中国石油601857.SH'],
      dtype='object')","Index(['中国银行601988.SH', '工商银行601398.SH', '三一重工600031.SH', '洛阳钼业603993.SH',
       '建设银行601939.SH', '中信证券600030.SH', '中国石化600028.SH', '交通银行601328.SH',
       '海通证券600837.SH', '宝钢股份600019.SH'],
      dtype='object')","Index(['三安光电600703.SH', '中国重工601989.SH', '中信建投601066.SH', '工业富联601138.SH',
       '农业银行601288.SH', '中国人保601319.SH', '华泰证券601688.SH', '上海银行601229.SH',
       '中国联通600050.SH', '保利地产600048.SH'],
      dtype='object')"
20190807,"Index(['恒瑞医药600276.SH', '中国国旅601888.SH', '海螺水泥600585.SH', '南方航空600029.SH',
       '华夏幸福600340.SH', '海尔智家600690.SH', '中国神华601088.SH', '中国中铁601390.SH',
       '中国交建601800.SH', '贵州茅台600519.SH'],
      dtype='object')","Index(['中国国航601111.SH', '新华保险601336.SH', '复星医药600196.SH', '中国石油601857.SH',
       '浦发银行600000.SH', '中国平安601318.SH', '中国人寿601628.SH', '万华化学600309.SH',
       '中国中车601766.SH', '国泰君安601211.SH'],
      dtype='object')","Index(['宝钢股份600019.SH', '药明康德603259.SH', '民生银行600016.SH', '中国太保601601.SH',
       '中国铁建601186.SH', '招商银行600036.SH', '光大银行601818.SH', '中国建筑601668.SH',
       '上汽集团600104.SH', '兴业银行601166.SH'],
      dtype='object')","Index(['中国联通600050.SH', '伊利股份600887.SH', '中信证券600030.SH', '三一重工600031.SH',
       '工商银行601398.SH', '建设银行601939.SH', '中国石化600028.SH', '中国银行601988.SH',
       '海通证券600837.SH', '交通银行601328.SH'],
      dtype='object')","Index(['中国重工601989.SH', '三安光电600703.SH', '中信建投601066.SH', '工业富联601138.SH',
       '农业银行601288.SH', '中国人保601319.SH', '华泰证券601688.SH', '洛阳钼业603993.SH',
       '上海银行601229.SH', '保利地产600048.SH'],
      dtype='object')"
20190814,"Index(['国泰君安601211.SH', '中国国旅601888.SH', '海螺水泥600585.SH', '万华化学600309.SH',
       '华夏幸福600340.SH', '海尔智家600690.SH', '中国神华601088.SH', '中国中铁601390.SH',
       '中国交建601800.SH', '贵州茅台600519.SH'],
      dtype='object')","Index(['中国国航601111.SH', '新华保险601336.SH', '复星医药600196.SH', '中国石油601857.SH',
       '浦发银行600000.SH', '中国人寿601628.SH', '中国平安601318.SH', '南方航空600029.SH',
       '中国中车601766.SH', '恒瑞医药600276.SH'],
      dtype='object')","Index(['宝钢股份600019.SH', '药明康德603259.SH', '民生银行600016.SH', '中国太保601601.SH',
       '光大银行601818.SH', '招商银行600036.SH', '中国铁建601186.SH', '上汽集团600104.SH',
       '中国建筑601668.SH', '兴业银行601166.SH'],
      dtype='object')","Index(['伊利股份600887.SH', '中国联通600050.SH', '三一重工600031.SH', '中信证券600030.SH',
       '建设银行601939.SH', '工商银行601398.SH', '中国石化600028.SH', '海通证券600837.SH',
       '交通银行601328.SH', '中国银行601988.SH'],
      dtype='object')","Index(['中国重工601989.SH', '洛阳钼业603993.SH', '三安光电600703.SH', '中信建投601066.SH',
       '工业富联601138.SH', '农业银行601288.SH', '中国人保601319.SH', '华泰证券601688.SH',
       '上海银行601229.SH', '保利地产600048.SH'],
      dtype='object')"
20190821,"Index(['海螺水泥600585.SH', '华夏幸福600340.SH', '新华保险601336.SH', '海尔智家600690.SH',
       '万华化学600309.SH', '中国神华601088.SH', '中国中铁601390.SH', '宝钢股份600019.SH',
       '中国交建601800.SH', '贵州茅台600519.SH'],
      dtype='object')","Index(['中国国航601111.SH', '浦发银行600000.SH', '国泰君安601211.SH', '中国中车601766.SH',
       '中国太保601601.SH', '中国平安601318.SH', '南方航空600029.SH', '恒瑞医药600276.SH',
       '中国国旅601888.SH', '中国人寿601628.SH'],
      dtype='object')","Index(['光大银行601818.SH', '民生银行600016.SH', '招商银行600036.SH', '中国铁建601186.SH',
       '兴业银行601166.SH', '中国建筑601668.SH', '上汽集团600104.SH', '复星医药600196.SH',
       '中国银行601988.SH', '中国石油601857.SH'],
      dtype='object')","Index(['保利地产600048.SH', '伊利股份600887.SH', '三一重工600031.SH', '海通证券600837.SH',
       '工商银行601398.SH', '建设银行601939.SH', '中国石化600028.SH', '交通银行601328.SH',
       '药明康德603259.SH', '中国人保601319.SH'],
      dtype='object')","Index(['中国重工601989.SH', '洛阳钼业603993.SH', '中信建投601066.SH', '三安光电600703.SH',
       '工业富联601138.SH', '中国联通600050.SH', '农业银行601288.SH', '华泰证券601688.SH',
       '中信证券600030.SH', '上海银行601229.SH'],
      dtype='object')"
20190828,"Index(['中国人寿601628.SH', '海螺水泥600585.SH', '华夏幸福600340.SH', '海尔智家600690.SH',
       '万华化学600309.SH', '新华保险601336.SH', '中国神华601088.SH', '宝钢股份600019.SH',
       '中国交建601800.SH', '贵州茅台600519.SH'],
      dtype='object')","Index(['恒瑞医药600276.SH', '中国石化600028.SH', '中国平安601318.SH', '国泰君安601211.SH',
       '中国中车601766.SH', '中国国航601111.SH', '中国国旅601888.SH', '中国中铁601390.SH',
       '南方航空600029.SH', '浦发银行600000.SH'],
      dtype='object')","Index(['民生银行600016.SH', '中国人保601319.SH', '兴业银行601166.SH', '复星医药600196.SH',
       '中国建筑601668.SH', '上汽集团600104.SH', '中国铁建601186.SH', '中国石油601857.SH',
       '中国银行601988.SH', '中国太保601601.SH'],
      dtype='object')","Index(['上海银行601229.SH', '伊利股份600887.SH', '保利地产600048.SH', '工商银行601398.SH',
       '建设银行601939.SH', '海通证券600837.SH', '药明康德603259.SH', '交通银行601328.SH',
       '招商银行600036.SH', '光大银行601818.SH'],
      dtype='object')","Index(['中国重工601989.SH', '洛阳钼业603993.SH', '三安光电600703.SH', '中信建投601066.SH',
       '中国联通600050.SH', '农业银行601288.SH', '华泰证券601688.SH', '工业富联601138.SH',
       '中信证券600030.SH', '三一重工600031.SH'],
      dtype='object')"
20190904,"Index(['中国中铁601390.SH', '海螺水泥600585.SH', '中国人寿601628.SH', '海尔智家600690.SH',
       '华夏幸福600340.SH', '浦发银行600000.SH', '中国神华601088.SH', '中国交建601800.SH',
       '宝钢股份600019.SH', '贵州茅台600519.SH'],
      dtype='object')","Index(['中国石油601857.SH', '中国石化600028.SH', '中国平安601318.SH', '国泰君安601211.SH',
       '中国中车601766.SH', '中国国航601111.SH', '新华保险601336.SH', '南方航空600029.SH',
       '万华化学600309.SH', '中国国旅601888.SH'],
      dtype='object')","Index(['招商银行600036.SH', '民生银行600016.SH', '中国人保601319.SH', '上汽集团600104.SH',
       '中国建筑601668.SH', '中国铁建601186.SH', '复星医药600196.SH', '恒瑞医药600276.SH',
       '中国银行601988.SH', '中国太保601601.SH'],
      dtype='object')","Index(['保利地产600048.SH', '上海银行601229.SH', '伊利股份600887.SH', '兴业银行601166.SH',
       '工商银行601398.SH', '建设银行601939.SH', '海通证券600837.SH', '药明康德603259.SH',
       '光大银行601818.SH', '交通银行601328.SH'],
      dtype='object')","Index(['中国重工601989.SH', '洛阳钼业603993.SH', '三安光电600703.SH', '中信建投601066.SH',
       '中国联通600050.SH', '工业富联601138.SH', '华泰证券601688.SH', '农业银行601288.SH',
       '中信证券600030.SH', '三一重工600031.SH'],
      dtype='object')"
20190911,"Index(['海尔智家600690.SH', '中国人寿601628.SH', '中国平安601318.SH', '华夏幸福600340.SH',
       '中国交建601800.SH', '海螺水泥600585.SH', '浦发银行600000.SH', '宝钢股份600019.SH',
       '中国神华601088.SH', '贵州茅台600519.SH'],
      dtype='object')","Index(['中国银行601988.SH', '新华保险601336.SH', '南方航空600029.SH', '中国人保601319.SH',
       '中国国旅601888.SH', '中国石油601857.SH', '中国中铁601390.SH', '万华化学600309.SH',
       '国泰君安601211.SH', '中国国航601111.SH'],
      dtype='object')","Index(['交通银行601328.SH', '中国建筑601668.SH', '民生银行600016.SH', '上汽集团600104.SH',
       '招商银行600036.SH', '复星医药600196.SH', '恒瑞医药600276.SH', '中国太保601601.SH',
       '中国中车601766.SH', '中国石化600028.SH'],
      dtype='object')","Index(['中信证券600030.SH', '兴业银行601166.SH', '华泰证券601688.SH', '建设银行601939.SH',
       '工商银行601398.SH', '药明康德603259.SH', '海通证券600837.SH', '光大银行601818.SH',
       '农业银行601288.SH', '中国铁建601186.SH'],
      dtype='object')","Index(['中国重工601989.SH', '洛阳钼业603993.SH', '三安光电600703.SH', '中国联通600050.SH',
       '中信建投601066.SH', '工业富联601138.SH', '三一重工600031.SH', '保利地产600048.SH',
       '伊利股份600887.SH', '上海银行601229.SH'],
      dtype='object')"
20190919,"Index(['中国平安601318.SH', '中国交建601800.SH', '中国人寿601628.SH', '海尔智家600690.SH',
       '华夏幸福600340.SH', '海螺水泥600585.SH', '宝钢股份600019.SH', '浦发银行600000.SH',
       '中国神华601088.SH', '贵州茅台600519.SH'],
      dtype='object')","Index(['中国人保601319.SH', '中国国航601111.SH', '中国银行601988.SH', '新华保险601336.SH',
       '药明康德603259.SH', '南方航空600029.SH', '中国国旅601888.SH', '万华化学600309.SH',
       '中国中铁601390.SH', '国泰君安601211.SH'],
      dtype='object')","Index(['中国石化600028.SH', '民生银行600016.SH', '中国建筑601668.SH', '光大银行601818.SH',
       '上汽集团600104.SH', '复星医药600196.SH', '恒瑞医药600276.SH', '招商银行600036.SH',
       '中国太保601601.SH', '中国中车601766.SH'],
      dtype='object')","Index(['伊利股份600887.SH', '中信证券600030.SH', '兴业银行601166.SH', '华泰证券601688.SH',
       '建设银行601939.SH', '工商银行601398.SH', '中国石油601857.SH', '农业银行601288.SH',
       '中国铁建601186.SH', '交通银行601328.SH'],
      dtype='object')","Index(['洛阳钼业603993.SH', '三安光电600703.SH', '中国重工601989.SH', '中国联通600050.SH',
       '中信建投601066.SH', '保利地产600048.SH', '三一重工600031.SH', '工业富联601138.SH',
       '海通证券600837.SH', '上海银行601229.SH'],
      dtype='object')"
20190926,"Index(['交通银行601328.SH', '华夏幸福600340.SH', '中国国旅601888.SH', '海螺水泥600585.SH',
       '宝钢股份600019.SH', '上海银行601229.SH', '浦发银行600000.SH', '民生银行600016.SH',
       '贵州茅台600519.SH', '中国神华601088.SH'],
      dtype='object')","Index(['万华化学600309.SH', '新华保险601336.SH', '南方航空600029.SH', '中国银行601988.SH',
       '中国平安601318.SH', '中国中铁601390.SH', '海尔智家600690.SH', '国泰君安601211.SH',
       '中国人寿601628.SH', '中国交建601800.SH'],
      dtype='object')","Index(['上汽集团600104.SH', '复星医药600196.SH', '中国建筑601668.SH', '中国太保601601.SH',
       '招商银行600036.SH', '恒瑞医药600276.SH', '中国中车601766.SH', '药明康德603259.SH',
       '中国人保601319.SH', '中国国航601111.SH'],
      dtype='object')","Index(['中信证券600030.SH', '兴业银行601166.SH', '华泰证券601688.SH', '建设银行601939.SH',
       '中国石油601857.SH', '工商银行601398.SH', '中国铁建601186.SH', '农业银行601288.SH',
       '中国石化600028.SH', '光大银行601818.SH'],
      dtype='object')","Index(['三安光电600703.SH', '洛阳钼业603993.SH', '中国联通600050.SH', '工业富联601138.SH',
       '中国重工601989.SH', '中信建投601066.SH', '三一重工600031.SH', '保利地产600048.SH',
       '海通证券600837.SH', '伊利股份600887.SH'],
      dtype='object')"
20191010,"Index(['中国交建601800.SH', '上海银行601229.SH', '浦发银行600000.SH', '海螺水泥600585.SH',
       '华夏幸福600340.SH', '宝钢股份600019.SH', '民生银行600016.SH', '中国神华601088.SH',
       '贵州茅台600519.SH', '中国人寿601628.SH'],
      dtype='object')","Index(['上汽集团600104.SH', '中国银行601988.SH', '中国人保601319.SH', '海尔智家600690.SH',
       '新华保险601336.SH', '中国中铁601390.SH', '国泰君安601211.SH', '中国平安601318.SH',
       '中国国旅601888.SH', '交通银行601328.SH'],
      dtype='object')","Index(['中国建筑601668.SH', '复星医药600196.SH', '建设银行601939.SH', '恒瑞医药600276.SH',
       '中国太保601601.SH', '药明康德603259.SH', '中国中车601766.SH', '中国国航601111.SH',
       '万华化学600309.SH', '南方航空600029.SH'],
      dtype='object')","Index(['伊利股份600887.SH', '中信证券600030.SH', '兴业银行601166.SH', '华泰证券601688.SH',
       '中国石油601857.SH', '工商银行601398.SH', '农业银行601288.SH', '中国铁建601186.SH',
       '中国石化600028.SH', '招商银行600036.SH'],
      dtype='object')","Index(['三安光电600703.SH', '洛阳钼业603993.SH', '中国联通600050.SH', '工业富联601138.SH',
       '中国重工601989.SH', '中信建投601066.SH', '保利地产600048.SH', '海通证券600837.SH',
       '三一重工600031.SH', '光大银行601818.SH'],
      dtype='object')"
20191017,"Index(['中国平安601318.SH', '海螺水泥600585.SH', '中国交建601800.SH', '中国国旅601888.SH',
       '华夏幸福600340.SH', '民生银行600016.SH', '宝钢股份600019.SH', '中国神华601088.SH',
       '贵州茅台600519.SH', '中国人寿601628.SH'],
      dtype='object')","Index(['中国银行601988.SH', '中国人保601319.SH', '万华化学600309.SH', '上汽集团600104.SH',
       '交通银行601328.SH', '上海银行601229.SH', '中国中铁601390.SH', '海尔智家600690.SH',
       '国泰君安601211.SH', '新华保险601336.SH'],
      dtype='object')","Index(['恒瑞医药600276.SH', '中国建筑601668.SH', '中国国航601111.SH', '复星医药600196.SH',
       '南方航空600029.SH', '药明康德603259.SH', '浦发银行600000.SH', '建设银行601939.SH',
       '中国中车601766.SH', '中国太保601601.SH'],
      dtype='object')","Index(['伊利股份600887.SH', '中信证券600030.SH', '兴业银行601166.SH', '华泰证券601688.SH',
       '中国石油601857.SH', '农业银行601288.SH', '工商银行601398.SH', '中国铁建601186.SH',
       '中国石化600028.SH', '招商银行600036.SH'],
      dtype='object')","Index(['三安光电600703.SH', '洛阳钼业603993.SH', '中国联通600050.SH', '工业富联601138.SH',
       '中信建投601066.SH', '光大银行601818.SH', '中国重工601989.SH', '海通证券600837.SH',
       '保利地产600048.SH', '三一重工600031.SH'],
      dtype='object')"
20191024,,,,,
